Writer,Rating
453,5.5
633,7.84
719,7.3
816,7.7
829,4.0
910,6.55
940,6.75
1064,4.6
1154,5.0
1185,6.1
1471,7.1
1501,6.1
1636,8.0
1638,6.7
2219,5.1
2276,5.7
2487,7.5
2618,5.2
2643,8.0
2762,6.6
3130,6.0
3845,3.8
4004,6.95
4006,5.0
4609,7.2
4915,8.5
5266,6.2
5458,6.42
5478,6.1
5637,4.9
5720,6.3
5800,6.3
5889,6.9
6406,4.1
6474,6.1
6554,6.9
6555,8.3
7799,7.1
7918,7.35
8028,7.5
8827,6.7
8857,6.6
9001,6.2
9088,4.4
9125,7.7
9246,8.5
9978,4.44
10092,6.8
10116,4.0
10636,6.4
10817,6.6
11066,4.7
11312,6.87
11600,6.8
11675,6.55
11744,5.1
12408,4.6
12691,6.5
12892,8.1
12950,3.3
13023,6.87
13034,4.1
13187,7.4
13217,6.2
13220,6.2
13224,2.8
13349,7.1
13536,7.12
13737,7.7
14160,7.0
14218,7.83
14221,6.2
14241,7.0
14746,3.8
15000,5.6
15104,8.1
15130,7.3
15385,4.4
15500,5.45
15604,4.7
15927,5.85
16261,5.7
16613,3.2
17157,5.4
17178,6.0
17273,4.1
17482,3.5
17490,6.7
17596,7.0
18261,8.1
18288,3.2
18742,4.6
18785,7.2
18832,6.0
18997,6.8
19766,6.7
19895,6.4
20241,6.1
20368,6.22
20946,7.6
21101,5.9
21456,7.58
21464,7.7
21629,3.9
21677,6.7
21688,8.2
22163,7.6
22412,3.1
22543,7.15
22735,6.9
22896,6.9
23086,7.5
23302,6.2
23534,3.1
23662,5.9
23772,6.2
23946,6.8
24297,6.8
25081,6.5
25183,3.92
25374,8.1
25439,6.8
25687,4.6
26175,6.8
26370,5.25
26678,6.1
26855,4.2
27194,6.3
27255,6.6
27467,6.7
27574,5.5
27805,6.25
27812,6.9
27890,7.2
27953,6.1
28067,5.53
28569,7.2
28751,5.6
28817,6.6
28906,5.7
29817,7.2
29872,5.4
30024,7.5
30043,6.4
30175,7.1
30193,6.2
30391,5.99
30499,6.8
30711,4.1
30713,7.0
30923,6.8
30935,6.1
31107,5.7
31224,6.7
31292,5.6
31330,7.7
31477,6.1
31601,5.4
31602,7.6
31644,6.1
31804,6.8
32132,7.6
32181,8.0
33847,5.67
34083,6.6
34585,4.2
34976,6.8
35005,5.0
35132,7.1
35330,6.7
35625,5.3
35711,5.1
36023,6.6
36276,7.04
36343,7.2
36404,7.7
36636,7.6
36656,6.5
36792,6.2
37074,6.8
37303,6.45
37319,6.45
37394,5.85
37710,5.75
37899,5.63
37990,7.6
37995,7.49
38319,6.55
38855,5.6
39546,7.9
40134,3.0
40155,6.94
41049,6.85
41163,6.2
41497,6.95
41809,7.4
42078,8.0
42082,4.5
42329,5.7
42360,6.2
43214,6.1
43230,5.7
43279,3.4
43311,7.1
43608,7.0
43621,6.8
43735,7.4
44244,7.53
44275,6.8
44472,5.9
44565,6.2
44750,7.3
44772,5.63
44774,6.8
44826,5.92
44968,6.55
45037,7.2
45039,4.9
45167,4.8
45286,3.3
45301,6.5
45472,6.03
46310,7.7
46389,5.7
46528,6.9
46934,4.1
47196,6.45
47439,6.1
47765,6.49
47871,6.5
47934,7.24
48051,6.7
48608,6.67
48609,4.1
48738,4.6
49328,5.7
49335,5.4
49396,4.2
49397,2.9
49465,5.03
49986,7.26
50322,7.54
50565,7.71
50566,6.02
50731,7.65
50749,4.8
50774,5.8
50870,6.9
50967,7.27
51061,5.9
51084,7.3
51167,6.1
51233,7.43
51281,4.8
51603,2.7
52322,4.55
52366,5.5
52383,5.6
52436,6.4
52555,5.0
52895,4.0
53640,5.0
53644,6.9
53835,6.8
54057,5.8
54087,7.6
54797,7.1
55464,7.1
55746,6.4
55893,5.5
55932,7.0
56457,7.22
57009,6.45
57070,6.1
57191,6.0
57402,6.9
57689,5.9
57776,6.0
57894,6.5
57917,7.7
57987,4.9
57990,4.3
58812,4.0
58980,6.5
59269,6.8
59818,7.7
59981,6.1
60180,4.55
60413,6.5
60571,6.2
60604,6.81
61142,6.1
61180,4.5
61296,6.44
61400,6.3
61521,7.6
61620,6.8
61906,6.5
62029,5.0
62939,6.03
63063,6.7
63166,1.3
63167,6.5
63229,6.6
63464,6.1
63470,6.6
63714,5.13
64094,1.8
64099,4.7
64499,5.3
64676,7.0
64798,6.6
64802,7.8
64813,7.2
64814,7.3
64819,7.3
64828,6.3
64996,6.52
65241,5.5
66017,4.9
66035,6.7
66150,6.3
66197,7.2
66525,5.6
66661,6.5
66676,6.9
66898,7.7
66900,6.13
66986,6.9
67028,4.5
67845,5.9
67965,7.55
68058,6.8
68271,6.6
68317,5.8
68383,6.8
68496,3.8
68886,7.2
69438,3.6
69656,7.5
69779,5.37
69911,6.56
69924,5.2
70054,7.31
70335,7.6
71108,6.09
71357,6.2
71715,7.2
71725,5.7
71885,6.05
72121,5.18
72312,7.9
72433,7.3
72637,6.9
72645,4.2
73147,6.45
73287,6.7
74310,5.1
74772,7.7
74945,8.2
75038,7.2
75202,6.7
75274,7.8
75308,6.3
76192,5.3
76642,7.13
76761,8.2
77144,5.2
77197,6.9
77216,7.3
77256,6.9
77283,3.9
77384,4.8
77424,6.0
77626,6.8
77771,6.35
77816,5.4
77945,6.5
78199,6.8
78277,5.7
78359,6.9
78431,4.58
78553,5.6
79250,6.8
79350,3.0
79352,5.3
80276,3.7
80292,4.87
80570,6.77
80972,6.45
81003,6.49
81091,7.5
81323,5.9
81950,6.8
81955,3.1
82122,7.54
82123,6.7
82346,5.5
82592,7.0
82622,6.39
82900,5.5
82962,6.0
82976,5.5
83305,6.3
83349,6.9
83566,7.4
83619,7.05
83724,5.0
83835,7.65
83945,4.5
84256,6.9
84311,5.4
84766,7.27
84783,6.25
84786,6.29
84836,6.7
84893,5.0
85077,4.3
85929,6.7
86066,5.35
86350,3.5
86515,7.11
87254,6.9
87311,5.3
87485,6.17
87487,4.7
87982,6.8
88329,6.45
88865,7.5
89249,5.6
89425,5.5
89673,6.7
89843,7.2
90034,4.6
90047,5.1
90127,3.1
90209,5.7
90408,7.15
91059,7.9
91121,7.09
91253,3.9
91344,6.28
91444,5.9
91972,6.3
92129,5.7
92463,6.1
92601,5.2
92981,7.6
93174,6.9
93553,6.8
93575,6.9
93665,7.0
93895,4.2
94055,7.2
94076,7.2
94103,4.67
94526,6.0
94652,3.4
94736,8.2
95076,7.6
95126,4.9
95166,5.8
95256,5.07
95412,6.0
95417,6.4
95439,5.5
95608,6.4
95678,4.8
95697,4.0
95968,6.55
95976,5.2
96894,4.5
96904,6.05
97123,5.5
97310,6.8
97505,7.3
97626,6.9
97685,4.6
97984,5.2
98010,6.7
98021,5.7
98210,7.6
98668,5.9
99332,7.1
99579,4.4
99627,7.7
99652,6.9
99851,5.3
100321,6.47
100453,7.0
100512,7.3
100542,7.9
100654,6.19
100869,6.4
101192,4.85
101228,5.2
101321,6.7
101482,5.7
101486,5.15
101494,7.05
101525,8.1
101807,7.6
101809,7.1
102317,2.3
102679,6.4
102819,8.5
102864,6.7
103156,7.9
103330,9.0
103342,3.8
103433,6.43
103978,5.0
104362,4.65
105103,7.7
105258,6.0
105675,6.4
105753,7.3
105783,5.55
107717,7.35
108022,6.8
108157,2.3
108309,7.33
108446,6.7
109297,6.2
109306,5.28
109648,6.2
109830,5.7
109956,6.55
110095,6.2
110402,4.2
110697,6.4
111235,6.6
111410,6.7
111539,5.6
111699,3.5
111796,6.7
111935,6.15
112350,6.3
112447,6.2
112504,7.0
112597,6.8
112602,6.6
112845,6.8
112936,6.26
113170,6.3
113171,6.9
113251,3.5
113336,4.3
113795,4.5
114233,2.3
115228,5.9
115719,5.5
115782,6.49
115824,5.4
116167,8.1
116248,5.55
116278,5.4
116355,5.4
116390,5.85
116434,5.5
116793,7.9
117202,6.0
117261,5.6
117356,4.5
117382,7.5
117639,6.03
117847,4.3
117896,5.05
118077,6.69
118091,6.55
118473,7.1
118739,5.3
118949,4.9
119282,6.5
119356,5.5
119414,6.15
119630,5.7
119783,5.1
119945,7.5
120063,6.8
120578,6.1
120708,5.8
120745,6.85
120799,7.6
120877,7.1
121025,7.2
121531,4.8
121650,7.6
121721,6.4
121822,7.7
121997,7.0
122019,3.5
122118,6.3
122495,6.2
122500,3.65
122549,5.8
122758,6.4
123185,4.6
123444,5.5
123496,6.41
123725,5.55
124475,7.15
124888,5.47
124989,5.5
125281,7.8
126044,7.8
126301,6.0
126489,4.0
126657,6.3
126994,5.0
127658,4.1
127830,5.77
127833,8.1
127945,2.5
127990,6.7
128091,7.08
128170,7.6
128206,4.1
128790,6.2
128794,6.23
128797,6.45
129219,4.2
129707,4.5
129878,7.1
130094,6.72
130280,6.7
130519,6.5
130558,5.2
130608,4.4
131035,6.1
131065,5.95
131439,6.4
131477,6.23
131920,4.3
132067,7.8
132501,6.58
132612,6.43
132843,8.0
132917,7.35
132962,7.22
132989,5.7
132992,5.8
133046,6.19
133072,5.52
133105,6.98
133341,7.2
133589,6.6
133834,5.9
134455,6.9
134476,3.7
134794,7.0
134840,6.24
134847,6.4
134895,8.0
135112,7.8
135171,4.32
135337,5.7
135559,6.1
136059,3.1
136469,4.8
136474,6.73
136899,6.2
137118,6.8
137506,5.63
137537,7.2
138036,6.4
138141,4.4
138392,6.0
138402,6.2
138565,6.8
138848,6.17
139176,7.7
139220,6.6
139586,8.3
140126,6.8
140473,7.3
140860,6.2
141155,6.4
141452,7.41
141607,4.4
142088,7.0
142323,5.65
142455,6.21
142589,5.7
142714,4.87
142844,5.45
142924,6.93
143173,6.38
143534,7.6
143689,6.6
143718,6.2
143853,6.85
144193,6.4
144364,6.73
144394,6.55
144504,6.2
144812,6.0
144829,5.44
144830,7.15
144848,5.4
144864,6.7
144868,5.0
144875,6.8
145147,6.3
145172,5.7
145549,6.9
145695,7.6
145701,4.6
145747,7.2
145760,7.5
145806,7.0
145907,6.13
145914,6.9
145937,5.4
146220,6.1
146416,5.7
146479,7.27
147459,6.8
147630,7.03
147875,6.79
148161,7.1
148182,6.0
148339,2.8
148370,6.6
148522,4.5
148586,4.5
148696,6.1
148942,6.5
149006,4.88
149024,7.0
149313,3.5
149354,6.2
149682,6.7
150125,6.44
150205,7.2
150258,7.2
150294,5.51
150295,8.4
151018,5.03
151078,6.27
151185,6.2
151202,5.8
151237,4.7
151244,5.63
151279,4.0
151283,6.6
151417,6.55
151583,5.7
151743,5.5
151752,3.0
151839,7.03
151847,4.3
151881,6.8
152405,5.94
152585,6.6
152755,6.7
152818,8.0
152867,6.4
153036,7.45
153179,6.4
153240,7.82
153481,5.1
153546,8.2
153579,5.7
154297,5.3
154398,6.05
154486,7.1
154615,4.0
154722,5.3
154803,6.5
154873,6.75
154967,4.3
155139,7.4
156337,5.75
156482,7.0
156528,4.4
156543,6.2
156619,4.7
156807,6.2
156906,5.5
156946,6.38
156962,8.0
157009,7.0
157016,7.7
157130,6.4
157137,7.38
157157,5.6
157340,5.9
157602,5.0
157977,4.8
158062,6.45
158147,4.6
158861,6.2
158927,4.2
159049,7.29
159054,7.8
159612,6.0
159901,4.7
159926,5.5
159967,6.0
160012,6.25
160086,5.9
160205,6.37
160269,5.6
160640,3.6
161172,7.0
161179,8.3
161324,9.0
161516,6.8
161693,8.1
162401,7.8
162428,7.9
162581,6.05
162617,7.5
162787,6.6
162926,7.6
163054,6.2
163183,6.9
163251,5.8
163340,5.2
163366,5.01
163702,5.8
163808,4.7
164059,7.1
164408,7.0
165434,7.63
165737,4.05
165904,7.9
166521,7.7
167082,3.1
167098,6.7
167113,7.4
167269,6.0
167908,7.4
168282,4.75
168389,2.7
168473,6.33
168536,3.9
168700,6.7
168770,6.6
168815,7.2
168994,4.7
169243,8.4
169284,7.1
169287,5.2
169990,7.97
170564,7.23
170573,4.8
170675,7.1
170870,5.2
171024,6.8
171461,2.3
171508,5.4
171607,5.5
171649,7.7
171761,6.0
171941,5.4
171969,8.4
172130,7.3
172141,5.25
172530,7.5
172625,5.1
172709,5.8
172749,4.3
172868,2.1
173197,7.6
173492,6.6
173661,6.1
173691,8.03
174058,6.0
174114,7.15
174303,3.1
174322,6.6
174649,7.09
174911,5.25
174949,7.7
175544,5.3
175591,7.5
175990,5.5
176328,7.8
176940,8.0
177227,5.7
177263,6.8
177335,5.8
177361,5.5
177404,6.3
177415,5.4
177477,5.53
177522,5.8
177975,3.6
178071,6.1
178427,6.6
178926,7.0
178950,7.4
179284,6.58
179351,5.62
179355,7.1
179492,6.3
179529,4.8
179752,5.8
180320,5.8
180346,5.7
180414,5.1
180450,5.6
180542,4.45
180543,6.1
180683,4.4
180886,6.55
181034,6.4
181146,6.1
181262,6.93
181309,5.5
181390,8.0
181415,3.1
181730,6.8
181777,6.75
182154,5.5
182213,6.2
182741,5.9
182838,6.8
182969,4.3
183067,6.5
183159,7.7
183178,6.6
183183,4.8
183232,3.6
183531,5.9
183630,7.5
183644,6.74
183659,5.6
183720,7.7
183754,8.15
184263,6.6
184671,6.8
184730,5.9
185198,7.6
185504,5.8
185594,6.6
185745,7.05
185912,5.3
186223,6.6
186463,7.6
186555,7.0
186659,2.7
186689,6.54
186900,5.7
187072,3.6
187150,7.2
187256,7.2
187345,6.27
187368,5.42
187372,5.2
187656,7.8
187673,6.3
187775,6.9
187917,6.35
188162,5.0
188242,6.9
188330,6.2
188360,6.3
188423,6.5
188434,6.2
189117,6.3
189220,5.8
189277,3.54
189571,4.4
189597,7.7
189658,6.25
189724,7.5
189794,7.66
189944,6.8
189971,2.8
190043,3.6
190196,5.6
190238,6.55
190380,6.7
190972,7.5
190976,6.0
191011,7.7
191205,6.2
191252,6.0
191286,6.73
191296,5.4
191527,6.4
191542,6.4
191706,6.05
191729,6.8
191955,8.1
192036,7.1
192231,2.2
192260,6.6
192425,6.0
192558,7.3
193106,7.2
193148,3.1
193262,5.9
193455,3.7
193626,7.6
193667,5.4
193690,5.9
194001,4.4
194102,7.1
194108,3.6
194127,6.7
194223,3.7
194406,5.87
194560,4.0
194634,5.05
194699,6.3
194740,4.0
194940,4.0
195349,6.9
195470,4.7
195768,6.5
195901,6.7
195915,7.3
197133,6.6
197314,6.83
197478,6.4
197692,5.8
197705,3.8
197791,4.2
198043,6.5
198050,8.0
198092,5.7
198303,4.8
198347,6.1
198911,6.1
199490,6.9
199899,7.0
200106,5.1
200235,6.0
200273,6.5
200613,5.6
200835,7.7
200838,6.3
200980,7.6
201017,6.85
201040,6.0
201420,5.4
201746,6.0
201948,7.2
201959,6.7
202170,6.74
202685,6.6
202742,5.9
203165,4.8
203180,3.4
203264,3.9
203422,6.6
203838,7.25
203975,7.05
204083,6.2
204128,5.4
204212,7.0
204303,3.5
204370,6.7
204457,6.9
204510,7.2
204621,4.8
204866,7.4
205062,6.4
205204,6.7
205514,6.8
205826,5.0
206171,5.7
206184,7.6
206517,3.9
206543,6.85
207208,6.8
207236,5.87
207561,5.0
207829,7.7
208039,7.5
208074,5.7
208082,4.8
208153,7.8
208405,8.8
208699,7.3
209053,6.15
209219,7.44
209258,3.4
209419,6.49
209426,5.4
209493,3.9
209854,6.6
210109,6.2
210150,7.1
210271,2.3
210340,8.0
210582,2.3
210657,4.5
211096,5.6
211148,4.8
211164,8.0
211209,7.6
211236,6.92
211291,6.3
211347,5.05
211414,7.2
211473,5.23
211518,7.5
211785,7.7
211845,4.1
211975,7.5
211976,4.3
212050,7.2
212238,7.4
212290,7.06
212296,4.7
212362,5.66
212665,4.4
212931,2.7
212932,2.7
213029,5.7
213454,6.7
213926,7.35
214405,5.25
214532,5.8
214537,6.7
214810,7.1
214915,6.4
214990,3.4
215027,7.35
215058,6.0
215128,7.6
215405,6.6
215944,8.7
216541,5.4
216656,6.79
216675,6.8
216764,5.9
217069,5.2
217087,7.3
217669,5.8
217895,6.5
218154,5.2
218312,6.7
218408,5.3
218455,3.2
218654,5.9
218768,5.0
218812,6.0
218866,7.9
218882,5.2
219009,6.2
219018,7.6
219046,6.3
219144,2.3
219546,6.8
219686,7.2
220027,5.4
220306,5.6
220503,6.45
220650,7.8
220695,6.84
220696,6.65
220728,5.0
220946,5.35
221627,7.3
221631,6.8
221814,6.5
221842,5.95
221922,7.3
222089,6.37
222165,5.67
222318,5.9
223218,6.15
223371,6.8
224082,5.65
224083,7.13
224086,7.13
224094,5.45
224353,5.4
224375,2.7
224489,6.75
224714,6.87
224763,8.15
224838,7.0
225348,1.6
225352,6.57
225389,4.5
225973,7.2
225980,6.8
225997,7.23
226014,6.4
226087,6.1
226105,5.6
226432,7.1
226509,7.0
226607,5.0
226651,5.9
226807,5.6
226849,5.74
226879,5.45
227129,6.8
227297,6.83
227539,6.59
227658,7.46
227763,3.9
227852,6.2
228197,3.4
228204,5.5
228227,5.8
228654,5.9
229325,7.8
229586,5.7
229753,5.1
229754,6.8
229855,3.2
229868,7.7
229986,6.85
230149,7.1
230302,5.3
230330,6.6
230346,7.6
230750,5.7
230902,5.1
231399,5.65
231539,7.0
231946,2.8
232107,5.7
232147,7.0
232225,5.6
232368,5.52
232407,3.8
232808,4.9
232988,5.4
233741,6.7
233782,7.3
234067,6.7
234304,5.0
234776,5.1
234804,7.2
234852,4.7
234871,7.35
234883,6.8
234929,5.8
235047,6.84
235178,7.9
235304,4.1
235408,4.8
235731,6.1
235745,7.1
236182,5.9
236575,5.9
236658,5.2
236883,6.58
237020,6.4
237359,6.35
237960,5.0
238081,6.8
238266,3.3
238355,4.0
238520,7.3
238568,7.25
239093,7.1
239342,6.9
239518,5.5
239774,7.2
239901,7.6
239942,6.0
239988,6.5
240464,6.6
240559,3.67
240615,6.6
240742,6.2
240795,8.5
240815,5.8
240907,6.28
241101,7.07
241125,5.8
241501,7.1
241580,2.9
241599,7.6
242564,5.5
242675,3.9
243215,8.4
243298,6.7
243337,5.5
243442,7.7
243567,6.55
243677,6.2
244092,6.5
244219,7.07
244310,7.3
244546,8.2
245870,7.3
245978,7.0
245989,3.5
246800,6.3
247022,6.1
247344,7.6
247384,7.3
247419,7.3
247503,8.4
247803,6.7
248175,7.8
248391,5.9
248525,5.0
248560,7.1
248623,5.6
248631,5.7
248736,3.3
248786,5.5
249451,5.7
249726,5.6
249733,4.9
249764,5.25
250011,7.9
250016,6.29
250046,6.7
250179,8.6
250677,3.1
250702,6.3
250864,6.8
251194,7.1
251248,5.65
251302,7.0
251356,6.1
251416,5.7
251441,6.4
251458,5.9
251787,7.0
251804,6.2
251825,6.51
251867,7.25
251905,6.89
252529,7.8
252764,6.41
252782,6.9
252913,7.83
253276,7.2
253316,7.2
253371,6.83
253587,4.8
253682,7.7
254103,7.4
254615,6.5
254762,5.7
254819,5.97
255034,6.2
255319,7.0
255388,5.85
255389,7.05
255487,5.82
255539,6.8
255768,6.22
256062,4.27
256466,6.22
257087,7.2
257546,7.9
257573,8.3
257636,4.8
257639,4.8
258021,3.1
258022,7.3
258117,3.5
258618,6.8
258666,6.08
258737,6.6
258819,5.05
259258,5.2
259312,6.4
259382,4.0
259801,6.7
259865,2.0
260133,6.3
260185,4.2
260449,5.25
260531,7.1
260819,7.2
260861,5.7
260985,6.33
261005,5.5
261120,5.4
261849,7.5
262151,3.8
262253,5.6
262376,3.9
262809,6.3
262854,4.7
262879,5.1
263097,6.4
263326,5.9
263450,7.8
263482,7.2
263560,6.0
263669,5.8
263743,5.2
263817,5.7
263968,5.7
264031,7.35
264055,4.8
264495,5.5
264749,3.8
264767,4.7
264997,6.7
265245,6.9
265308,6.9
265943,5.3
266813,7.0
267054,4.5
267320,5.3
267362,3.8
267884,3.0
268223,5.8
268467,4.9
268873,7.0
269234,8.3
269290,6.8
269406,7.6
269523,7.61
269681,6.1
269906,6.7
270107,6.35
270194,5.87
270228,6.0
270472,7.7
270489,4.9
270528,4.8
270578,7.25
270817,6.0
271048,3.2
271176,6.8
271431,4.2
271872,5.5
271903,6.0
